,producto,frecuencia,precio,etiquetas
0,Procesador Intel Celeron G5905 Intel UHD Graphics 610 10ma Generaciï¿½n,3.5,0.829,3
1,Procesador Intel Core i9-13900K 13va Generaciï¿½n,3.0,10.999,0
2,Procesador AMD Ryzen 7 5800X,3.8,3.329,1
3,Procesador AMD Ryzen 5 4600 Radeon Graphics,3.7,1.399,3
4,Procesador Intel Core i3-10100F 10ma Generaciï¿½n,3.6,1.099,3
5,Procesador AMD Ryzen 5 3600X,3.8,9.979,0
6,Procesador AMD Sempron 2600+,1.6,0.445,3
7,Procesador Intel Core i9-10900K Intel UHD Graphics 630 10ma Generaciï¿½n,3.7,7.619,2
8,Procesador Intel Core i7-12700KF 12va Generaciï¿½n,3.6,5.369,1
9,Procesador Intel Core i5-11600K Intel UHD Graphics 750 11va. Generaciï¿½n,3.9,4.279,1
10,Procesador AMD Ryzen 9 7900X3D,4.4,10.419,0
11,Procesador Intel Core i5-4590 4ta Generaciï¿½n,3.3,3.869,1
12,Procesador AMD Ryzen 5 2600,3.4,3.899,1
13,"Procesador AMD Ryzen 5 3600X, S-AM4",3.8,9.979,0
14,Procesador AMD Ryzen 3 3200G con Grï¿½ficos Radeon Vega 8,3.6,4.469,1
15,Procesador Intel Pentium G2020,2.9,1.299,3
16,Procesador Intel Core i5-7400,3.0,4.109,1
17,Procesador AMD Ryzen 3 1300X,3.5,3.449,1
18,Procesador Intel Pentium Gold-6400,4.0,1.259,3
19,Procesador AMD Ryzen 7 7700,3.8,6.049,2
20,Procesador AMD Ryzen 5 7600 con Grï¿½ficos Radeon,3.8,4.219,1
21,Procesador Intel Core i9-12900 Intel UHD Graphics 770 12va Generaciï¿½n,2.4,8.949,0
22,Procesador Intel Core i5-13600K 13va Generaciï¿½n,3.5,6.019,2
23,Procesador AMD Ryzen 5 4600G Radeon Graphics,3.7,1.429,3
24,Procesador AMD Ryzen 5 5600G con Gráficos Radeon 7,3.9,2.019,3
25,Procesador AMD Ryzen 7 5700X,3.4,2.769,1
26,Procesador Intel Core i9-12900K Intel UHD Graphics 770 12va Generaciï¿½n,3.2,9.329,0
27,Procesador AMD Ryzen 7 7700X,4.5,6.239,2
28,Procesador Intel Core i3-12100F 12va Generaciï¿½n,3.3,1.719,3
29,Procesador AMD Ryzen 9 7900X,4.7,7.619,2
30,Procesador AMD Sempron 2800+,1.6,0.529,3
31,Procesador AMD Ryzen 9 7950X3D,4.2,12.959,0
32,Procesador Intel Core i7-9700K 9na Generaciï¿½n Coffee Lake,3.6,6.379,2
33,Procesador AMD Ryzen 3 3200G,3.6,1.249,3
34,Procesador Intel Core i5-12600K 12va Generaciï¿½n,3.7,5.139,1
35,Procesador AMD Ryzen 3 Pro 4350G,3.8,11.289,0
36,Procesador Intel Core i7-3970X Extreme Edition,3.5,6.589,2
37,Procesador Intel Core i7-12700K Intel UHD Graphics 770 12va Generaciï¿½n,3.6,6.889,2
38,Procesador AMD Ryzen 7 3800X,3.9,8.069,2
39,Procesador Intel Core i3-10105F 10ma Generaciï¿½n,3.7,1.119,3
40,Procesador AMD Athlon 64 3000+,1.8,0.549,3
41,Procesador Intel Core i9-12900K Intel UHD Graphics 770 10ma Generaciï¿½n,2.8,6.919,2
42,Procesador Intel Core i5-12400 12va Generaciï¿½n,2.5,3.329,1
43,Procesador AMD Ryzen 5 3600,3.6,2.479,3
44,Procesador Intel Core i5-4460 4ta Generaciï¿½n,3.2,7.479,2
45,Procesador AMD Athlon 64 3200+,2.2,1.259,3
46,Procesador Intel Core i7-6800K,3.4,8.149,2
47,Procesador AMD Ryzen 7 7800X3D,4.2,8.129,2
48,Procesador Intel Core i7-10700KA Avengers Edition 10ma Generaciï¿½n,3.8,9.519,0
49,Procesador Intel Core i7-6700 6ta Generaciï¿½n Skylake,3.4,9.009,0
